id,title,year,language,all_authors,citation_count,has_hypothesis,hypothesis_or_objectives,objective_code,research_area,research_focus,sampling_method,study_design,habitat_code,region_code,affiliations,ocean,sea,is_just_theoric,locality_country,family,genus,cited_species
526,Report on the Actiniaria and Ceriantharia,1927,English,Carlgren O.,4,NO,NA,4,Biodiversity,Overview,0,1,0,2,Sweden,North Atlantic,Mediterranean Sea,NO,Egypt,Cerianthidae,Cerianthus; Pachycerianthus,Cerianthus membranaceus; Pachycerianthus solitarius
511,The Ceriantharian Nervous System,1965,English,Arai M.N.,0,NO,NA,1,Anatomy,Morphology,1,2,1,1,Canada,North Pacific,NA,NO,USA,Cerianthidae,Pachycerianthus,NA
571,Association of Phoronis australis (Phoronida) with Cerianthus maua (Ceriantharia) in coral reefs of Madagascar,1972,French,Emig C.C.; Thomassin B.A.; Herberts C.,11,YES,The occurrence of Phoronis australis in the tube-walls of Cerianthus maua at Madagascar allows us to describe the taxonomic characteristics of both species and to deal with ecological aspects of the bottoms colonized.,2,Ecology,Ecological Interactions,0,2,1;2;5;6;7,1,France,Indian Ocean,NA,NO,Madagascar,Cerianthidae,Cerianthus,Cerianthus maua
520,The nematocysts of the anthozoans and their importance for phylogenetical systematics,1972,German,Schmidt H.,70,YES,"In the present work, the stinging capsules of representatives of almost all anthozoan orders (cf. KAESTNER 1969), with the exception of Helioporida, are examined and the diagnostic significance is briefly shown",5,Cell Biology,Cnida,0,1,0,2,Germany,North Atlantic,Mediterranean Sea; Red Sea,NO,NA,Cerianthidae,Cerianthus; Pachycerianthus,Cerianthus maua; Cerianthus membranaceus; Pachycerianthus multiplicatus
501,"A light and electron microscope study of the nervous system of Ceriantheopsis americanus (cnidaria, ceriantharia)",1973,English,Peteya D.J.,20,YES,This study is an attempt to clarify and extend knowledge of the cerianthid nervous system by characterizing the fine structural features of the neurons and synapses of Ceriantheopsis americanus. It also attempts to provide a preliminary model of the functional organization of the nervous system based upon observed synaptic interactions of its components.,1,Anatomy,Morphology,0,1,0,1,USA;Canada,North Atlantic,NA,NO,USA,Cerianthidae,Ceriantheopsis,Ceriantheopsis americana
535,"A possible proprioceptor in Ceriantheopsis americanus (cnidaria, ceriantharia)",1973,English,Peteya D.J.,1,YES,This paper is a report of the morphology of that sensory cell.,1,Anatomy,Morphology,0,1,0,1,USA;Canada,North Atlantic,NA,NO,USA,Cerianthidae,Ceriantheopsis,Ceriantheopsis americana
519,The feeding response of Pachycerianthus-fimbriatus (Ceriantharia),1973,English,Arai M.N.; Walder G.L.,7,NO,NA,2,Ecology,Behavior,2,2,0,1,Canada,North Pacific,NA,NO,USA,Cerianthidae,Pachycerianthus,Pachycerianthus fimbriatus
509,Gas exchange in a cerianthid,1974,English,Sassaman C.; Mangum C.P.,9,YES,The present contribution extends our investigation of respiration in anthozoans to the determinants of gas exchange in the cerianthid Ceriantheopsis americana,1,Physiology,Physiology,0,2,2,1,USA,North Atlantic,NA,NO,USA,Cerianthidae,Ceriantheopsis,Ceriantheopsis americana
508,"Digestion extracellulaire dans la cavité gastrique de Cerianthus lloydi Gosse. Structure du gastroderme, localisation et propriétés des enzymes protéolytiques",1975,French,Tiffon Y.; Bouillon J,7,NO,NA,1,Cell Biology,Anatomy,0,2,0,1,France;Belgium,North Atlantic,North Sea,NO,France,Cerianthidae,Cerianthus,Cerianthus lloydii
514,"Hydrolases dans l'ectoderme de Cerianthus lloydi Gosse, Cerianthus membranaceus spallanzani et Metridium senile (L.): mise en évidence d'une digestion extracellulaire et extracorporelle",1975,French,Tiffon Y.,10,YES,"I sought to locate and characterize some hydrolases in the ectoderm of the tentacles and in tissues of the same embryonic origin, but more accessible to biochemical analysis",1,Biochemistry,Physiology,0,2,0,1,France,North Atlantic,North Sea,NO,France,Cerianthidae,Cerianthus; Pachycerianthus,Cerianthus lloydii; Cerianthus membranaceus; Pachycerianthus fimbriatus
527,The ciliary-cone sensory cell of anemones and cerianthids,1975,English,Peteya D.J.,47,YES,This is the first demonstration of a multicellular sensory structure in the Anthozoa.,1,Cell Biology,Anatomy,0,2,0,2,Canada,North Atlantic;North Pacific,NA,NO,USA,Cerianthidae,Ceriantheopsis; Pachycerianthus,Ceriantheopsis americana; Pachycerianthus fimbriatus
